topic_id,certification,exam,section,objective,topic,duration,question_targets
220-1202-001,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.1 – Operating Systems,Operating Systems Overview,12:59,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-002,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.1 – Operating Systems,File Systems,5:51,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-003,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.2 – Installing Operating Systems,Installing Operating Systems,16:50,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-004,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.2 – Installing Operating Systems,Upgrading Windows,8:34,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-005,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.3 – Microsoft Windows,An Overview of Windows,9:09,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-006,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.3 – Microsoft Windows,Windows Features,8:54,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-007,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.4 – The Windows OS,Task Manager,4:52,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-008,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.4 – The Windows OS,The Microsoft Management Console,15:22,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-009,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.4 – The Windows OS,Additional Windows Tools,12:25,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-010,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.5 – The Windows Command Line,Windows Command Line Tools,31:07,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-011,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.5 – The Windows Command Line,The Windows Network Command Line,18:24,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-012,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.6 – Windows Settings,The Windows Control Panel,23:09,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
220-1202-013,CompTIA A+ Core 2,220-1202,Section 1: Operating Systems,1.6 – Windows Settings,Windows Settings,6:34,"{""minimum_count"": 3, ""difficulty_mix"": {""hard"": 2, ""expert"": 1}, ""formats"": [""scenario_single_best_answer"", ""choose_two"", ""ordering_or_next_best_step"", ""command_output_interpretation""]}"
